{'epoch': 112, 'train_loss': 0.29348, 'eval_loss': 0.23123, 'scores': {'median_PSNR': 28.74457, 'median_SSIM': 0.43085}, 'train_time': 0.70098, 'eval_time': 0.36724}
{'epoch': 113, 'train_loss': 0.29586, 'eval_loss': 0.22842, 'scores': {'median_PSNR': 28.72549, 'median_SSIM': 0.43349}, 'train_time': 0.69004, 'eval_time': 0.27679}
{'epoch': 114, 'train_loss': 0.29577, 'eval_loss': 0.22879, 'scores': {'median_PSNR': 28.76719, 'median_SSIM': 0.43664}, 'train_time': 0.68243, 'eval_time': 0.25263}
{'epoch': 115, 'train_loss': 0.28256, 'eval_loss': 0.22831, 'scores': {'median_PSNR': 28.83605, 'median_SSIM': 0.43412}, 'train_time': 0.72894, 'eval_time': 0.26797}
{'epoch': 116, 'train_loss': 0.29478, 'eval_loss': 0.22886, 'scores': {'median_PSNR': 28.75859, 'median_SSIM': 0.43508}, 'train_time': 0.67786, 'eval_time': 0.2859}
{'epoch': 117, 'train_loss': 0.29538, 'eval_loss': 0.2291, 'scores': {'median_PSNR': 28.77052, 'median_SSIM': 0.42924}, 'train_time': 0.71338, 'eval_time': 0.25853}
{'epoch': 118, 'train_loss': 0.28566, 'eval_loss': 0.22763, 'scores': {'median_PSNR': 28.7503, 'median_SSIM': 0.43242}, 'train_time': 0.69817, 'eval_time': 0.22987}
{'epoch': 119, 'train_loss': 0.2958, 'eval_loss': 0.22811, 'scores': {'median_PSNR': 28.82363, 'median_SSIM': 0.43733}, 'train_time': 0.72667, 'eval_time': 0.27688}
{'epoch': 120, 'train_loss': 0.28948, 'eval_loss': 0.22861, 'scores': {'median_PSNR': 28.7786, 'median_SSIM': 0.43226}, 'train_time': 0.72006, 'eval_time': 0.28548}
{'epoch': 121, 'train_loss': 0.29744, 'eval_loss': 0.2287, 'scores': {'median_PSNR': 28.72981, 'median_SSIM': 0.43817}, 'train_time': 0.74062, 'eval_time': 0.24632}
{'epoch': 122, 'train_loss': 0.2878, 'eval_loss': 0.22793, 'scores': {'median_PSNR': 28.72981, 'median_SSIM': 0.4352}, 'train_time': 0.7836, 'eval_time': 0.25685}
{'epoch': 123, 'train_loss': 0.2908, 'eval_loss': 0.2271, 'scores': {'median_PSNR': 28.79198, 'median_SSIM': 0.43275}, 'train_time': 0.7278, 'eval_time': 0.29096}
{'epoch': 124, 'train_loss': 0.29333, 'eval_loss': 0.22813, 'scores': {'median_PSNR': 28.68672, 'median_SSIM': 0.43069}, 'train_time': 0.6996, 'eval_time': 0.25071}
{'epoch': 125, 'train_loss': 0.29592, 'eval_loss': 0.22717, 'scores': {'median_PSNR': 28.79709, 'median_SSIM': 0.4374}, 'train_time': 0.71207, 'eval_time': 0.23378}
{'epoch': 126, 'train_loss': 0.28933, 'eval_loss': 0.22698, 'scores': {'median_PSNR': 28.77308, 'median_SSIM': 0.43953}, 'train_time': 0.70538, 'eval_time': 0.23308}
{'epoch': 127, 'train_loss': 0.28973, 'eval_loss': 0.22965, 'scores': {'median_PSNR': 28.58072, 'median_SSIM': 0.43593}, 'train_time': 0.67604, 'eval_time': 0.28173}
{'epoch': 128, 'train_loss': 0.28443, 'eval_loss': 0.2275, 'scores': {'median_PSNR': 28.81364, 'median_SSIM': 0.43716}, 'train_time': 0.69805, 'eval_time': 0.26047}
{'epoch': 129, 'train_loss': 0.2934, 'eval_loss': 0.22764, 'scores': {'median_PSNR': 28.89073, 'median_SSIM': 0.43519}, 'train_time': 0.64662, 'eval_time': 0.2543}
{'epoch': 130, 'train_loss': 0.29807, 'eval_loss': 0.22677, 'scores': {'median_PSNR': 28.83478, 'median_SSIM': 0.4346}, 'train_time': 0.69077, 'eval_time': 0.25267}
{'epoch': 131, 'train_loss': 0.28823, 'eval_loss': 0.22666, 'scores': {'median_PSNR': 28.88656, 'median_SSIM': 0.43935}, 'train_time': 0.73998, 'eval_time': 0.23404}
{'epoch': 132, 'train_loss': 0.28932, 'eval_loss': 0.22686, 'scores': {'median_PSNR': 28.72668, 'median_SSIM': 0.43409}, 'train_time': 0.69875, 'eval_time': 0.27924}
{'epoch': 133, 'train_loss': 0.28752, 'eval_loss': 0.23226, 'scores': {'median_PSNR': 28.78756, 'median_SSIM': 0.4344}, 'train_time': 0.69437, 'eval_time': 0.25777}
{'epoch': 134, 'train_loss': 0.29198, 'eval_loss': 0.22788, 'scores': {'median_PSNR': 28.72465, 'median_SSIM': 0.43395}, 'train_time': 0.61805, 'eval_time': 0.25859}
{'epoch': 135, 'train_loss': 0.29023, 'eval_loss': 0.22834, 'scores': {'median_PSNR': 28.67548, 'median_SSIM': 0.42861}, 'train_time': 0.72133, 'eval_time': 0.2453}
{'epoch': 136, 'train_loss': 0.28634, 'eval_loss': 0.22691, 'scores': {'median_PSNR': 28.87661, 'median_SSIM': 0.43251}, 'train_time': 0.71265, 'eval_time': 0.2402}
{'epoch': 137, 'train_loss': 0.27767, 'eval_loss': 0.2346, 'scores': {'median_PSNR': 28.60367, 'median_SSIM': 0.43134}, 'train_time': 0.68888, 'eval_time': 0.26795}
{'epoch': 138, 'train_loss': 0.28164, 'eval_loss': 0.22644, 'scores': {'median_PSNR': 28.76746, 'median_SSIM': 0.43073}, 'train_time': 0.72188, 'eval_time': 0.26504}
